"Production::Begin Bates","Production::End Bates","File Name","Log Number","FILE_PATH"
"CPD 0038952","CPD 0038954","LOG_1051974.zip?2012-1.LOG_1051974.001.CR Summary.pdf","LOG_1051974",""
"CPD 0038955","CPD 0038956","LOG_1051974.zip?2012-1.LOG_1051974.002.CR Face Sheet.pdf","LOG_1051974",""
"CPD 0038957","CPD 0038958","LOG_1051974.zip?2012-1.LOG_1051974.004.CR_Attachment_---_DOCID_837329.pdf","LOG_1051974",""
"CPD 0038959","CPD 0038961","LOG_1051976.zip?2012-1.LOG_1051976.001.CR Summary.pdf","LOG_1051976",""
"CPD 0038962","CPD 0038963","LOG_1051976.zip?2012-1.LOG_1051976.002.CR Face Sheet.pdf","LOG_1051976",""
"CPD 0038964","CPD 0038966","LOG_1051976.zip?2012-1.LOG_1051976.004.CR_Attachment_---_DOCID_824718.pdf","LOG_1051976",""
"CPD 0038967","CPD 0038967","LOG_1051976.zip?2012-1.LOG_1051976.005.CR_Attachment_---_DOCID_824719.pdf","LOG_1051976",""
"CPD 0038968","CPD 0038968","LOG_1051976.zip?2012-1.LOG_1051976.006.CR_Attachment_---_DOCID_830298.pdf","LOG_1051976",""
"CPD 0038969","CPD 0038971","LOG_1051985.zip?2012-1.LOG_1051985.001.CR Summary.pdf","LOG_1051985",""
"CPD 0038972","CPD 0038973","LOG_1051985.zip?2012-1.LOG_1051985.002.CR Face Sheet.pdf","LOG_1051985",""
"CPD 0038974","CPD 0038974","LOG_1051985.zip?2012-1.LOG_1051985.004.CR_Attachment_---_DOCID_832290.pdf","LOG_1051985",""
"CPD 0038975","CPD 0038977","LOG_1051988.zip?2012-1.LOG_1051988.001.CR Summary.pdf","LOG_1051988",""
"CPD 0038978","CPD 0038979","LOG_1051988.zip?2012-1.LOG_1051988.002.CR Face Sheet.pdf","LOG_1051988",""
"CPD 0038980","CPD 0038981","LOG_1051988.zip?2012-1.LOG_1051988.004.CR_Attachment_---_DOCID_824740.pdf","LOG_1051988",""
"CPD 0038982","CPD 0038984","LOG_1051990.zip?2012-1.LOG_1051990.001.CR Summary.pdf","LOG_1051990",""
"CPD 0038985","CPD 0038986","LOG_1051990.zip?2012-1.LOG_1051990.002.CR Face Sheet.pdf","LOG_1051990",""
