"Production::Begin Bates","Production::End Bates","Log Number"
"CPD 0018318","CPD 0018318","LOG_1049207"
"CPD 0018319","CPD 0018320","LOG_1049207"
"CPD 0018321","CPD 0018324","LOG_1049207"
"CPD 0018325","CPD 0018327","LOG_1049210"
"CPD 0018328","CPD 0018329","LOG_1049210"
"CPD 0018330","CPD 0018330","LOG_1049210"
"CPD 0018331","CPD 0018331","LOG_1049210"
"CPD 0018332","CPD 0018332","LOG_1049210"
"CPD 0018333","CPD 0018333","LOG_1049210"
"CPD 0018334","CPD 0018334","LOG_1049210"
"CPD 0018335","CPD 0018335","LOG_1049210"
"CPD 0018336","CPD 0018338","LOG_1049212"
"CPD 0018339","CPD 0018340","LOG_1049212"
"CPD 0018341","CPD 0018342","LOG_1049212"
"CPD 0018343","CPD 0018344","LOG_1049212"
"CPD 0018345","CPD 0018347","LOG_1049213"
"CPD 0018348","CPD 0018348","LOG_1049213"
"CPD 0018349","CPD 0018351","LOG_1049213"
"CPD 0018352","CPD 0018352","LOG_1049213"
"CPD 0018353","CPD 0018353","LOG_1049213"
"CPD 0018354","CPD 0018354","LOG_1049213"
"CPD 0018355","CPD 0018356","LOG_1049214"
"CPD 0018357","CPD 0018357","LOG_1049214"
"CPD 0018358","CPD 0018360","LOG_1049216"
"CPD 0018361","CPD 0018361","LOG_1049220"
"CPD 0018362","CPD 0018363","LOG_1049221"
"CPD 0018364","CPD 0018364","LOG_1049221"
"CPD 0018365","CPD 0018365","LOG_1049221"
"CPD 0018366","CPD 0018366","LOG_1049221"
"CPD 0018367","CPD 0018367","LOG_1049221"
"CPD 0018368","CPD 0018368","LOG_1049221"
"CPD 0018369","CPD 0018372","LOG_1049221"
"CPD 0018373","CPD 0018374","LOG_1049222"
"CPD 0018375","CPD 0018377","LOG_1049223"
"CPD 0018378","CPD 0018378","LOG_1049225"
"CPD 0018379","CPD 0018380","LOG_1049227"
"CPD 0018381","CPD 0018382","LOG_1049228"
"CPD 0018383","CPD 0018385","LOG_1049228"
"CPD 0018386","CPD 0018387","LOG_1049230"
"CPD 0018388","CPD 0018388","LOG_1049230"
"CPD 0018389","CPD 0018391","LOG_1049235"
"CPD 0018392","CPD 0018393","LOG_1049235"
"CPD 0018394","CPD 0018394","LOG_1049235"
"CPD 0018395","CPD 0018406","LOG_1049235"
"CPD 0018407","CPD 0018407","LOG_1049238"
"CPD 0018408","CPD 0018409","LOG_1049241"
"CPD 0018410","CPD 0018411","LOG_1049241"
"CPD 0018412","CPD 0018412","LOG_1049241"
"CPD 0018413","CPD 0018413","LOG_1049243"
"CPD 0018414","CPD 0018418","LOG_1049244"
"CPD 0018419","CPD 0018420","LOG_1049244"
"CPD 0018421","CPD 0018424","LOG_1049248"
"CPD 0018425","CPD 0018428","LOG_1049248"
"CPD 0018429","CPD 0018429","LOG_1049249"
"CPD 0018430","CPD 0018431","LOG_1049250"
"CPD 0018432","CPD 0018436","LOG_1049251"
"CPD 0018437","CPD 0018438","LOG_1049254"
"CPD 0018439","CPD 0018441","LOG_1049256"
"CPD 0018442","CPD 0018442","LOG_1049256"
"CPD 0018443","CPD 0018445","LOG_1049259"
"CPD 0018446","CPD 0018447","LOG_1049259"
"CPD 0018448","CPD 0018450","LOG_1049265"
"CPD 0018451","CPD 0018453","LOG_1049270"
"CPD 0018454","CPD 0018455","LOG_1049270"
"CPD 0018456","CPD 0018460","LOG_1049270"
"CPD 0018461","CPD 0018470","LOG_1049271"
"CPD 0018471","CPD 0018472","LOG_1049271"
"CPD 0018473","CPD 0018473","LOG_1049271"
"CPD 0018474","CPD 0018478","LOG_1049271"
"CPD 0018479","CPD 0018486","LOG_1049271"
"CPD 0018487","CPD 0018489","LOG_1049271"
"CPD 0018490","CPD 0018497","LOG_1049271"
"CPD 0018498","CPD 0018502","LOG_1049271"
"CPD 0018503","CPD 0018506","LOG_1049271"
"CPD 0018507","CPD 0018521","LOG_1049271"
"CPD 0018522","CPD 0018522","LOG_1049271"
"CPD 0018523","CPD 0018523","LOG_1049271"
"CPD 0018524","CPD 0018524","LOG_1049271"
"CPD 0018525","CPD 0018525","LOG_1049271"
"CPD 0018526","CPD 0018526","LOG_1049271"
"CPD 0018527","CPD 0018527","LOG_1049271"
"CPD 0018528","CPD 0018528","LOG_1049271"
"CPD 0018529","CPD 0018529","LOG_1049271"
"CPD 0018530","CPD 0018530","LOG_1049271"
"CPD 0018531","CPD 0018531","LOG_1049271"
"CPD 0018532","CPD 0018541","LOG_1049272"
"CPD 0018542","CPD 0018543","LOG_1049272"
"CPD 0018544","CPD 0018544","LOG_1049272"
"CPD 0018545","CPD 0018549","LOG_1049272"
"CPD 0018550","CPD 0018555","LOG_1049272"
"CPD 0018556","CPD 0018558","LOG_1049272"
"CPD 0018559","CPD 0018560","LOG_1049272"
"CPD 0018561","CPD 0018573","LOG_1049272"
"CPD 0018574","CPD 0018578","LOG_1049272"
"CPD 0018579","CPD 0018582","LOG_1049273"
"CPD 0018583","CPD 0018584","LOG_1049273"
"CPD 0018585","CPD 0018586","LOG_1049273"
"CPD 0018587","CPD 0018589","LOG_1049273"
"CPD 0018590","CPD 0018591","LOG_1049273"
"CPD 0018592","CPD 0018593","LOG_1049273"
"CPD 0018594","CPD 0018594","LOG_1049273"
"CPD 0018595","CPD 0018595","LOG_1049273"
"CPD 0018596","CPD 0018596","LOG_1049273"
"CPD 0018597","CPD 0018597","LOG_1049273"
"CPD 0018598","CPD 0018598","LOG_1049273"
"CPD 0018599","CPD 0018599","LOG_1049273"
"CPD 0018600","CPD 0018601","LOG_1049273"
"CPD 0018602","CPD 0018604","LOG_1049274"
"CPD 0018605","CPD 0018606","LOG_1049274"
"CPD 0018607","CPD 0018609","LOG_1049275"
"CPD 0018610","CPD 0018611","LOG_1049275"
"CPD 0018612","CPD 0018612","LOG_1049275"
"CPD 0018613","CPD 0018614","LOG_1049276"
"CPD 0018615","CPD 0018615","LOG_1049276"
"CPD 0018616","CPD 0018618","LOG_1049277"
"CPD 0018619","CPD 0018619","LOG_1049277"
"CPD 0018620","CPD 0018624","LOG_1049277"
"CPD 0018625","CPD 0018627","LOG_1049278"
"CPD 0018628","CPD 0018629","LOG_1049278"
"CPD 0018630","CPD 0018630","LOG_1049278"
"CPD 0018631","CPD 0018631","LOG_1049278"
"CPD 0018632","CPD 0018634","LOG_1049278"
"CPD 0018635","CPD 0018638","LOG_1049278"
"CPD 0018639","CPD 0018639","LOG_1049278"
"CPD 0018640","CPD 0018640","LOG_1049278"
"CPD 0018641","CPD 0018641","LOG_1049278"
"CPD 0018642","CPD 0018642","LOG_1049278"
"CPD 0018643","CPD 0018643","LOG_1049278"
"CPD 0018644","CPD 0018647","LOG_1049278"
"CPD 0018648","CPD 0018650","LOG_1049279"
"CPD 0018651","CPD 0018651","LOG_1049279"
"CPD 0018652","CPD 0018654","LOG_1049281"
"CPD 0018655","CPD 0018655","LOG_1049281"
"CPD 0018656","CPD 0018658","LOG_1049282"
"CPD 0018659","CPD 0018660","LOG_1049282"
"CPD 0018661","CPD 0018661","LOG_1049282"
"CPD 0018662","CPD 0018662","LOG_1049282"
"CPD 0018663","CPD 0018663","LOG_1049282"
"CPD 0018664","CPD 0018669","LOG_1049283"
"CPD 0018670","CPD 0018670","LOG_1049283"
"CPD 0018671","CPD 0018673","LOG_1049283"
"CPD 0018674","CPD 0018674","LOG_1049283"
"CPD 0018675","CPD 0018675","LOG_1049283"
"CPD 0018676","CPD 0018678","LOG_1049283"
"CPD 0018679","CPD 0018680","LOG_1049283"
"CPD 0018681","CPD 0018682","LOG_1049283"
"CPD 0018683","CPD 0018685","LOG_1049283"
"CPD 0018686","CPD 0018689","LOG_1049283"
"CPD 0018690","CPD 0018693","LOG_1049283"
"CPD 0018694","CPD 0018696","LOG_1049284"
"CPD 0018697","CPD 0018698","LOG_1049284"
"CPD 0018699","CPD 0018701","LOG_1049287"
"CPD 0018702","CPD 0018703","LOG_1049287"
"CPD 0018704","CPD 0018708","LOG_1049287"
"CPD 0018709","CPD 0018710","LOG_1049287"
"CPD 0018711","CPD 0018712","LOG_1049287"
"CPD 0018713","CPD 0018717","LOG_1049287"
"CPD 0018718","CPD 0018719","LOG_1049287"
"CPD 0018720","CPD 0018721","LOG_1049287"
"CPD 0018722","CPD 0018723","LOG_1049287"
"CPD 0018724","CPD 0018726","LOG_1049288"
"CPD 0018727","CPD 0018728","LOG_1049288"
"CPD 0018729","CPD 0018731","LOG_1049289"
